rank,num_topics,coherence_cv,runtime_seconds,error
1,20,0.5286677843329037,413.0203162000107,
2,30,0.5277770575131148,440.40807580000546,
3,50,0.5145663779810925,425.6577661999909,
4,10,0.5043222697358256,361.18966880001244,
5,40,0.5005814535338804,483.8263059000019,
