model,precision@1,precision@3,precision@5,recall@1,recall@3,recall@5,f1@1,f1@3,f1@5,ndcg@1,ndcg@3,ndcg@5,mrr
lda,0.6595092024539877,0.5659509202453985,0.49662576687116583,0.2421365274126008,0.548993938066024,0.7647415765897371,0.32830850131463674,0.5188316114696491,0.5651680374839895,0.6595092024539877,0.6625463854113923,0.7199087738219456,0.7932375353004182
nmf,0.6288343558282209,0.5107361963190182,0.4300613496932506,0.21852785081312684,0.4987011880416786,0.6769902132632196,0.30268404907975505,0.4679063863879821,0.49229935027481125,0.6288343558282209,0.6041248114559667,0.6405125382410592,0.7749915345390801
bertopic,0.6871165644171779,0.5787321063394677,0.5079754601226996,0.2512878566559547,0.5658413672217354,0.7824234346090188,0.3421413964358754,0.5322288396674907,0.5789734890195025,0.6871165644171779,0.6780371859704155,0.7361749404933567,0.809277370550376
