rank,num_topics,coherence_cv,runtime_seconds,error
1,29,0.5216250560281456,282.458363999991,
2,19,0.518153477477613,318.61630540000624,
3,21,0.5168959489144087,275.7635114000004,
4,31,0.5127004469196217,281.5906010000035,
